source_file,title,chapter,chapter_no,section,section_no,date_or_page,first_total,first_correct,first_wrong,first_rate,second_total,second_correct,second_wrong,second_rate,has_first_data,has_second_data,section_order,first_rate_pct,second_rate_pct
06_王道操作系统.csv,王道操作系统 课后习题正确率记录,第1章 计算机系统概述,1,1.1 操作系统的基本概念,1.1,530,11,10,1,0.9090909090909091,1,1,0,1.0,True,True,1,90.9090909090909,100.0
06_王道操作系统.csv,王道操作系统 课后习题正确率记录,第1章 计算机系统概述,1,1.2 操作系统发展历程,1.2,530,20,14,6,0.7,3,0,3,0.0,True,True,2,70.0,0.0
06_王道操作系统.csv,王道操作系统 课后习题正确率记录,第1章 计算机系统概述,1,1.3 操作系统的运行环境,1.3,530,33,25,8,0.7575757575757576,13,0,13,0.0,True,True,3,75.75757575757575,0.0
06_王道操作系统.csv,王道操作系统 课后习题正确率记录,第1章 计算机系统概述,1,1.4 操作系统结构,1.4,531,0,0,0,,0,0,0,0.0,False,True,4,,0.0
06_王道操作系统.csv,王道操作系统 课后习题正确率记录,第1章 计算机系统概述,1,1.5 操作系统引导,1.5,531,0,0,0,,0,0,0,0.0,False,True,5,,0.0
06_王道操作系统.csv,王道操作系统 课后习题正确率记录,第1章 计算机系统概述,1,1.6 虚拟机,1.6,531,22,14,8,0.6363636363636364,3,0,3,0.0,True,True,6,63.63636363636363,0.0
06_王道操作系统.csv,王道操作系统 课后习题正确率记录,第2章 进程与线程,2,2.1 进程与线程简介,2.1,601,73,53,20,0.726027397260274,9,0,9,0.0,True,True,1,72.6027397260274,0.0
06_王道操作系统.csv,王道操作系统 课后习题正确率记录,第2章 进程与线程,2,2.2 CPU调度,2.2,602,57,46,11,0.8070175438596491,16,0,16,0.0,True,True,2,80.7017543859649,0.0
06_王道操作系统.csv,王道操作系统 课后习题正确率记录,第2章 进程与线程,2,2.3 同步与互斥,2.3,606,56,46,10,0.8214285714285714,9,0,9,0.0,True,True,3,82.14285714285714,0.0
06_王道操作系统.csv,王道操作系统 课后习题正确率记录,第2章 进程与线程,2,2.4 死锁,2.4,607,45,38,7,0.8444444444444444,11,0,11,0.0,True,True,4,84.44444444444444,0.0
06_王道操作系统.csv,王道操作系统 课后习题正确率记录,第3章 内存管理,3,3.1 内存管理概念,3.1,609,72,51,21,0.7083333333333334,10,0,10,0.0,True,True,1,70.83333333333334,0.0
06_王道操作系统.csv,王道操作系统 课后习题正确率记录,第3章 内存管理,3,3.2 虚拟内存管理,3.2,610,61,46,15,0.7540983606557377,14,0,14,0.0,True,True,2,75.40983606557377,0.0
06_王道操作系统.csv,王道操作系统 课后习题正确率记录,第4章 文件管理,4,4.1 文件系统基础,4.1,611,5,5,0,1.0,0,0,0,5.0,True,True,1,100.0,500.0
06_王道操作系统.csv,王道操作系统 课后习题正确率记录,第4章 文件管理,4,4.2 目录与文件,4.2,614,70,42,28,0.6,13,0,13,0.0,True,True,2,60.0,0.0
06_王道操作系统.csv,王道操作系统 课后习题正确率记录,第4章 文件管理,4,4.3 文件系统,4.3,614,18,15,3,0.8333333333333334,6,1,5,0.16666666666666666,True,True,3,83.33333333333334,16.666666666666664
06_王道操作系统.csv,王道操作系统 课后习题正确率记录,第5章 输入/输出管理,5,5.1 I/O管理概述,5.1,614,26,17,9,0.6538461538461539,4,1,3,0.25,True,True,1,65.38461538461539,25.0
06_王道操作系统.csv,王道操作系统 课后习题正确率记录,第5章 输入/输出管理,5,5.2 设备独立性软件,5.2,615,46,33,13,0.717391304347826,7,0,7,0.0,True,True,2,71.73913043478261,0.0
06_王道操作系统.csv,王道操作系统 课后习题正确率记录,第5章 输入/输出管理,5,5.3 磁盘和固态硬盘,5.3,615,35,29,6,0.8285714285714286,8,0,8,0.0,True,True,3,82.85714285714286,0.0
